source,target
/getting-started,https://go.scoopanalytics.com/signup
/get-started,https://go.scoopanalytics.com/signup
/demo,https://meetings.hubspot.com/brad738/scoop-demo
/webinars,/
/platform,/product
/resources/top-10-spreadsheet-limitations-and-how-to-solve-them-guide,/blog
/solutions/bi-and-analytics,/our-solutions
/solutions/marketing-analytics,/our-solutions/marketing
/recipes,/use-cases
/ai-powered-data-analysis,/ai-data
/solutions/revenue-ops,/our-solutions
/solutions/finance,/our-solutions
/solutions/revenue-operations,/our-solutions
/blog/strategies-to-master-revops,/blog
/blog/data-snapshots-and-decision-making,/blog
/use-case/customer-data-platform,/use-cases
/help,https://docs.scoopanalytics.com
