Page URL,Structured data,Field,Issue description,Discovered
https://www.scoopanalytics.com,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/blog/10-chatgpt-plugins-that-will-blow-your-mind-and-boost-your-productivity,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/blog/10-reasons-why-unlimited-data-snapshots-can-transform-your-data-monitoring,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,17 Oct 2025 (04:24 UTC)
https://www.scoopanalytics.com/blog/10-ways-to-turn-product-usage-data-into-growth-strategies,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/blog/5-key-venture-capital-trends-in-2024,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/blog/5-proven-strategies-to-boost-customer-engagement-using-data,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/blog/5-steps-to-building-a-lightweight-cdp-for-your-team,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,09 Jan 2026 (06:10 UTC)
https://www.scoopanalytics.com/blog/5-tips-for-improving-the-customer-journey-marketing-funnel-with-data-snapshots,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,03 Oct 2025 (04:22 UTC)
https://www.scoopanalytics.com/blog/5-ways-to-enhance-digital-customer-experience-with-analytics,Article,breadcrumb,The property breadcrumb is not recognized by Schema.org vocabulary.,03 Oct 2025 (04:22 UTC)
